run,max_overlap,max_outside
6_ngon3_in_tan.json,8.55948645295257e-12,8.086642466764715e-12
9_L_in_square.json,6.798983598343966e-11,6.492828497073333e-11
7_domino_in_square.json,8.875122858853501e-12,1.3146816968401254e-11
10_square_in_tan.json,4.916622664552506e-12,6.795675133730583e-12
3_square_in_tan.json,0.0,4.720668300706166e-13
6_circle_in_square.json,0.0,9.441891712924644e-12
2_tan_in_tan.json,0.0,4.754224791625461e-12
12_tan_in_tan.json,1.6490808718572225e-11,1.4955925387027946e-11
7_tan_in_square.json,1.070787902790471e-11,1.4041101614736817e-11
2_L_in_square.json,0.0,0.0
10_circle_in_tan.json,7.0385919315185674e-12,9.013012558511946e-12
3_circle_in_tan.json,0.0,6.175615574477433e-12
7_square_in_square.json,1.4220957744726093e-11,1.9895640690492655e-11
7_ngon3_in_tan.json,4.790778884711244e-12,6.99412749938233e-12
12_L_in_square.json,3.495417844057158e-11,2.511979513286633e-11
8_tan_in_L.json,9.322209670870052e-12,9.165224135188055e-12
6_L_in_square.json,6.111555705956562e-12,8.646194871175794e-12
5_domino_in_square.json,3.183231456205249e-12,6.565636923028251e-12
9_tan_in_square.json,1.7865930956872944e-11,1.8820944802655504e-11
5_tan_in_tan.json,8.145484287069849e-12,8.559819519859957e-12
4_tan_in_square.json,9.294121028347035e-12,9.901551800695074e-12
5_square_in_square.json,8.949729846108312e-12,3.994304886845157e-12
4_circle_in_square.json,8.65796323523682e-12,8.44524450371864e-12
11_square_in_square.json,7.551181901988002e-12,4.760636329592671e-12
2_domino_in_square.json,2.0553558854885523e-12,8.76076988731711e-13
26_ngon3_in_tan.json,1.2261969217775004e-11,8.81017481191293e-12
9_tan_in_L.json,9.879763673836806e-12,6.0129123902186166e-12
8_tan_in_square.json,8.636868997768943e-12,7.803757640090225e-12
5_tan_in_square.json,6.561418075534675e-12,8.62965254810888e-12
12_ngon3_in_tan.json,5.0708937049392944e-11,6.000333563349614e-11
10_circle_in_square.json,2.1799007043910024e-11,7.897682507973514e-12
12_circle_in_tan.json,2.1874058120374684e-11,2.5874191678099123e-11
23_ngon3_in_tan.json,8.509734583661555e-12,8.863021427885087e-12
3_circle_in_square.json,7.23243687161812e-12,9.568124070824524e-12
17_ngon3_in_tan.json,1.558364548515101e-11,1.4799772518614418e-11
2_square_in_square.json,9.643286169591647e-12,0.0
11_domino_in_square.json,3.5892100402890037e-10,3.898572575877779e-10
10_tan_in_tan.json,1.1143308498162696e-11,1.203936950133766e-11
12_square_in_tan.json,8.280931496074118e-12,9.18665143956332e-12
27_ngon3_in_tan.json,1.9908519277578307e-11,1.553551731703351e-11
7_tan_in_tan.json,6.956319849609145e-11,7.225300913127342e-11
12_circle_in_square.json,9.506839759865215e-12,7.971401316808624e-12
11_square_in_tan.json,7.613465413669473e-12,6.610489933223107e-12
2_square_in_tan.json,7.68001894429436e-12,9.903300401958859e-12
8_square_in_square.json,4.287603605490631e-11,2.724392933473041e-11
9_circle_in_square.json,9.962253244566455e-12,6.4714900105400375e-12
13_ngon3_in_tan.json,1.160954665735403e-11,1.562028284496364e-11
22_ngon3_in_tan.json,9.225731290030126e-12,9.706790926600206e-12
11_circle_in_tan.json,8.022471575941381e-12,9.034772929794599e-12
2_circle_in_tan.json,0.0,9.735989792147848e-12
16_ngon3_in_tan.json,2.851713309937054e-11,3.328998188223409e-11
11_L_in_square.json,6.643852135113093e-11,3.720601604584317e-11
8_domino_in_square.json,1.712563424405289e-10,1.6815421277627252e-10
6_tan_in_square.json,7.949529923223508e-12,9.37594446526191e-12
8_tan_in_tan.json,1.9064194667350876e-11,1.18804965865138e-11
5_L_in_square.json,1.1630807428275602e-11,1.8604007223643748e-11
6_tan_in_tan.json,1.2882805933145391e-11,7.73731079206641e-12
4_circle_in_tan.json,9.78683800667568e-12,9.450329407911795e-12
24_ngon3_in_tan.json,1.1541323452490815e-11,1.072641975241595e-11
9_circle_in_tan.json,9.391154520699274e-12,5.4823923179014855e-12
9_ngon3_in_tan.json,9.381606602687498e-12,7.249090216987497e-12
7_circle_in_square.json,9.987344284922983e-12,9.722778138154808e-12
4_tan_in_L.json,0.0,0.0
6_square_in_square.json,6.156886112052007e-11,7.828837578216508e-11
10_ngon3_in_tan.json,8.714251542585316e-12,8.082978730783452e-12
21_ngon3_in_tan.json,6.189637691278449e-11,5.554756654646553e-11
4_square_in_tan.json,7.703393478664111e-12,9.424683256042954e-12
6_domino_in_square.json,4.418743149159354e-11,3.071398690934757e-11
9_square_in_tan.json,7.873590668339148e-12,8.70514771378339e-12
12_tan_in_L.json,5.6858850960850305e-11,4.312183943255832e-11
15_ngon3_in_tan.json,7.0255745665548375e-12,8.245071292378725e-12
9_tan_in_tan.json,1.189326415129699e-11,1.2307987962145717e-11
25_ngon3_in_tan.json,1.1909917496666367e-11,9.14779363370144e-12
4_square_in_square.json,9.177991699971244e-12,5.652367462971597e-12
11_tan_in_L.json,0.0,6.356359882886409e-12
8_ngon3_in_tan.json,7.743250485248154e-12,8.637868198491105e-12
11_ngon3_in_tan.json,9.655831689769911e-12,7.901013177047389e-12
7_square_in_tan.json,7.717826377984238e-12,7.349065800354992e-12
5_circle_in_square.json,4.587663582356072e-12,5.17941245448128e-12
20_ngon3_in_tan.json,2.205391425036396e-11,2.7013391523666996e-11
4_L_in_square.json,7.840394999902855e-12,6.0708105209528185e-12
10_tan_in_square.json,2.9048652372409833e-11,2.3979540575425062e-11
3_tan_in_square.json,0.0,0.0
7_tan_in_L.json,7.661093981425893e-12,8.994027744790856e-12
10_L_in_square.json,1.2268808191606695e-10,1.4126655401014432e-10
4_domino_in_square.json,6.387779194483301e-12,1.5101031536346454e-11
14_ngon3_in_tan.json,7.561395953814554e-12,7.361444787079563e-12
7_circle_in_tan.json,5.1949555768260325e-12,7.404632462737482e-12
11_tan_in_tan.json,5.678790770957676e-12,8.515466110026182e-12
3_tan_in_L.json,0.0,0.0
